3,start -11 -10 -9 -12 1 end , 5
3,start -11 -10 -9 -12 3 4 13 end , 7
25,start -11 -10 -9 -2 -1 12 13 end , 7
3,start -11 -10 -9 -2 -1 end , 5
3,start -11 -10 -9 -4 -3 -2 -1 12 13 end , 9
2,start -11 -10 -9 -4 -3 12 13 -2 -1 end , 9
1,start -11 -10 -9 -4 -3 12 13 end , 7
8,start -11 -10 -9 -4 -3 end , 5
2,start -11 -10 -9 -4 13 end , 5
1,start -11 -10 -9 -6 -1 -8 -7 12 13 end , 9
34,start -11 -10 -9 -8 -1 12 13 end , 7
5,start -11 -10 -9 -8 -13 -12 1 end , 7
3,start -11 -10 -9 -8 -13 end , 5
2,start -11 -10 -9 -8 -3 -2 -1 12 13 end , 9
7,start -11 -10 -9 -8 -3 -2 -1 end , 7
16,start -11 -10 -9 -8 -3 end , 5
4,start -11 -10 -9 -8 -5 end , 5
1,start -11 -10 -9 -8 -7 -2 -1 12 13 end , 9
1,start -11 -10 -9 -8 -7 -2 13 end , 7
11,start -11 -10 -9 -8 -7 -6 -1 12 13 end , 9
2,start -11 -10 -9 -8 -7 -6 -13 end , 7
13,start -11 -10 -9 -8 -7 -6 -5 -4 -3 end , 9
1,start -11 -10 -9 -8 -7 -6 -5 -4 13 end , 9
14,start -11 -10 -9 -8 -7 -6 -5 12 13 end , 9
4,start -11 -10 -9 -8 -7 -6 -5 end , 7
2,start -11 -10 -9 -8 -7 -6 13 -12 -1 end , 9
6,start -11 -10 -9 -8 -7 -6 13 end , 7
30,start -11 -10 -9 -8 -7 12 13 end , 7
47,start -11 -10 -9 -8 -7 end , 5
3,start -11 -10 -9 -8 1 12 13 end , 7
17,start -11 -10 -9 -8 13 end , 5
2,start -11 -10 -9 -8 3 -2 -1 12 13 end , 9
2,start -11 -10 -9 -8 3 4 5 6 13 end , 9
7,start -11 -10 -9 -8 3 end , 5
1,start -11 -10 -9 -8 end , 4
55,start -11 -10 -9 12 13 end , 5
2,start -11 -10 -9 2 3 12 13 end , 7
1,start -11 -10 -9 2 3 end , 5
6,start -11 -10 -9 2 7 8 -1 end , 7
1,start -11 -10 -9 2 7 8 13 end , 7
4,start -11 -10 -9 4 13 end , 5
1,start -11 -10 -9 4 5 6 7 12 13 end , 9
2,start -11 -10 -9 6 13 end , 5
11,start -11 -10 -9 end , 3
5,start -11 -10 1 -12 -9 -6 13 end , 7
2,start -11 -10 1 12 13 end , 5
1,start -11 -10 1 2 -13 -12 -5 -4 -3 end , 9
